omega_m,target,z
0.1,0.0727650131045782,0.1
0.1,0.07301423567770374,0.1191919191919192
0.1,0.07327126128158434,0.1383838383838384
0.1,0.07353615589749757,0.1575757575757576
0.1,0.07380898205670285,0.17676767676767677
0.1,0.07408979883545284,0.19595959595959594
0.1,0.07437866185514128,0.21515151515151515
0.1,0.07467562328755106,0.23434343434343433
0.1,0.07498073186514692,0.2535353535353535
0.1,0.07529403289633735,0.2727272727272727
0.1,0.07561556828561215,0.2919191919191919
0.1,0.07594537655844438,0.3111111111111111
0.1,0.07628349289082839,0.3303030303030303
0.1,0.07662994914331048,0.3494949494949495
0.1,0.07698477389935357,0.3686868686868686
0.1,0.07734799250786413,0.3878787878787878
0.1,0.07771962712969753,0.407070707070707
0.1,0.0780996967879469,0.42626262626262623
0.1,0.0784882174218112,0.44545454545454544
0.1,0.07888520194382989,0.46464646464646464
0.1,0.07929066030026502,0.48383838383838385
0.1,0.07970459953440526,0.503030303030303
0.1,0.08012702385256379,0.5222222222222221
0.1,0.08055793469253714,0.5414141414141413
0.1,0.08099733079429215,0.5606060606060606
0.1,0.08144520827264719,0.5797979797979798
0.1,0.08190156069171434,0.598989898989899
0.1,0.08236637914087203,0.6181818181818182
0.1,0.08283965231203971,0.6373737373737373
0.1,0.08332136657803112,0.6565656565656565
0.1,0.08381150607176639,0.6757575757575757
0.1,0.08431005276613061,0.6949494949494949
0.1,0.08481698655427136,0.7141414141414141
0.1,0.0853322853301358,0.7333333333333333
0.1,0.08585592506905586,0.7525252525252525
0.1,0.08638787990819745,0.7717171717171717
0.1,0.08692812222669923,0.7909090909090909
0.1,0.087476622725335,0.81010101010101
0.1,0.08803335050554353,0.8292929292929292
0.1,0.0885982731476784,0.8484848484848484
0.1,0.08917135678834134,0.8676767676767676
0.1,0.08975256619667102,0.8868686868686868
0.1,0.0903418648494699,0.906060606060606
0.1,0.09093921500506097,0.9252525252525252
0.1,0.09154457777577595,0.9444444444444443
0.1,0.09215791319898615,0.9636363636363635
0.1,0.09277918030659602,0.9828282828282827
0.1,0.09340833719292872,1.002020202020202
0.1,0.09404534108094209,1.0212121212121212
0.1,0.09469014838672114,1.0404040404040404
0.1,0.09534271478220188,1.0595959595959596
0.1,0.09600299525608894,1.0787878787878789
0.1,0.096670944172937,1.097979797979798
0.1,0.0973465153303729,1.1171717171717173
0.1,0.09802966201444194,1.1363636363636365
0.1,0.0987203370530688,1.1555555555555557
0.1,0.09941849286762854,1.1747474747474747
0.1,0.10012408152262943,1.1939393939393939
0.1,0.10083705477351386,1.213131313131313
0.1,0.1015573641125891,1.2323232323232323
0.1,0.10228496081310322,1.2515151515151515
0.1,0.10301979597148618,1.2707070707070707
0.1,0.1037618205477793,1.2898989898989899
0.1,0.10451098540427999,1.309090909090909
0.1,0.10526724134243129,1.3282828282828283
0.1,0.10603053913798854,1.3474747474747475
0.1,0.10680082957449809,1.3666666666666667
0.1,0.10757806347512437,1.385858585858586
0.1,0.10836219173286434,1.405050505050505
0.1,0.10915316533918884,1.4242424242424243
0.1,0.10995093541115253,1.4434343434343435
0.1,0.11075545321701455,1.4626262626262627
0.1,0.11156667020041292,1.481818181818182
0.1,0.11238453800313665,1.501010101010101
0.1,0.11320900848653968,1.52020202020202
0.1,0.11404003375164076,1.5393939393939393
0.1,0.11487756615795416,1.5585858585858585
0.1,0.11572155834109543,1.5777777777777777
0.1,0.11657196322920634,1.596969696969697
0.1,0.11742873405824318,1.6161616161616161
0.1,0.11829182438617164,1.6353535353535353
0.1,0.11916118810611141,1.6545454545454545
0.1,0.12003677945847267,1.6737373737373737
0.1,0.12091855304212631,1.692929292929293
0.1,0.12180646382464853,1.7121212121212122
0.1,0.12270046715168001,1.7313131313131314
0.1,0.12360051875543902,1.7505050505050506
0.1,0.12450657476242614,1.7696969696969698
0.1,0.1254185917003586,1.7888888888888888
0.1,0.12633652650437005,1.808080808080808
0.1,0.12726033652251134,1.8272727272727272
0.1,0.12818997952058658,1.8464646464646464
0.1,0.12912541368635738,1.8656565656565656
0.1,0.130066597633148,1.8848484848484848
0.1,0.1310134904028822,1.904040404040404
0.1,0.13196605146858192,1.9232323232323232
0.1,0.13292424073635678,1.9424242424242424
0.1,0.13388801854691298,1.9616161616161616
0.1,0.13485734567660737,1.9808080808080808
0.1,0.1358321833380739,2.0
0.10404040404040404,0.07281209593491303,0.1
0.10404040404040404,0.07307120316848527,0.1191919191919192
0.10404040404040404,0.07333838699464076,0.1383838383838384
0.10404040404040404,0.07361371308160607,0.1575757575757576
0.10404040404040404,0.07389724344192512,0.17676767676767677
0.10404040404040404,0.07418903643199032,0.19595959595959594
0.10404040404040404,0.0744891467571368,0.21515151515151515
