target,feature
0.0,-1.0
-0.0355914686771408,-0.8947368421052632
-0.11204721620581404,-0.7894736842105263
-0.19354314993059651,-0.6842105263157895
-0.25588637611016357,-0.5789473684210527
-0.2849643733954095,-0.4736842105263158
-0.2751941663075669,-0.368421052631579
-0.2279714987163276,-0.26315789473684215
-0.15012000731796268,-0.1578947368421053
-0.05234039511344261,-0.052631578947368474
0.052340395113442496,0.05263157894736836
0.15012000731796268,0.1578947368421053
0.22797149871632755,0.26315789473684204
0.2751941663075668,0.36842105263157876
0.2849643733954095,0.4736842105263157
0.25588637611016357,0.5789473684210527
0.19354314993059657,0.6842105263157894
0.11204721620581426,0.7894736842105261
0.035591468677141025,0.894736842105263
0.0,1.0
