H,target,z
0.07169227181850443,0.007056563181495558,0.1
0.0717859035572684,0.014121916442731579,0.2
0.07187214439043466,0.021194660609565322,0.30000000000000004
0.07195208329615618,0.028273706703843788,0.4
0.072026584552465,0.035358190447535,0.5
0.07209634565284778,0.04244741434715222,0.6
0.07216193767735851,0.04954080732264148,0.7000000000000001
0.07222383413630132,0.05663789586369865,0.8
0.07228243202509567,0.06373828297490433,0.9
0.07233806748627043,0.07084163251372955,1.0
0.07239102765624733,0.07794765734375265,1.1
0.07244155976093006,0.08505611023906993,1.2000000000000002
0.07248987819315728,0.09216677680684272,1.3000000000000003
0.07253617008680117,0.09927946991319883,1.4000000000000001
0.07258059975528762,0.10639402524471235,1.5000000000000002
0.07262331226142026,0.11351029773857974,1.6
0.0726644363149457,0.1206281586850543,1.7000000000000002
0.07270408664433713,0.12774749335566288,1.8000000000000003
0.0727423659533297,0.1348681990466703,1.9000000000000001
0.07277936654653944,0.14199018345346054,2.0
0.07281517168916321,0.14911336331083677,2.1
0.07284985675132974,0.15623766324867025,2.2
0.07288349017679287,0.16336301482320714,2.3000000000000003
0.07291613430737462,0.17048935569262538,2.4000000000000004
0.07294784608820146,0.17761662891179852,2.5000000000000004
0.07297867767384578,0.18474478232615418,2.6
0.07300867695163232,0.1918737680483677,2.7
0.0730378879953391,0.19900354200466092,2.8000000000000003
0.07306635146011975,0.20613406353988026,2.9000000000000004
0.07309410492755909,0.21326529507244088,3.0000000000000004
0.07312118320823498,0.22039720179176497,3.1
0.07314761860791844,0.22752975139208156,3.2
0.07317344116253525,0.23466291383746476,3.3000000000000003
0.07319867884618911,0.24179666115381088,3.4000000000000004
0.07322335775587134,0.24893096724412864,3.5000000000000004
0.0732475022759251,0.25606580772407483,3.6
0.07327113522487105,0.2632011597751289,3.7
0.07329427798681817,0.27033700201318184,3.8000000000000003
0.07331695062936232,0.27747331437063766,3.9000000000000004
0.07333917200960724,0.28461007799039273,4.0
0.07336095986971634,0.29174727513028365,4.1
0.07338233092321202,0.29888488907678795,4.2
0.07340330093307808,0.30602290406692184,4.3
0.0734238847825822,0.31316130521741775,4.3999999999999995
0.0734440965396186,0.3203000784603814,4.5
0.07346394951526947,0.32743921048473046,4.6
0.07348345631719803,0.33457868868280194,4.7
0.07350262889841151,0.34171850110158847,4.8
0.0735214786018673,0.3488586363981327,4.9
0.07354001620134117,0.3559990837986588,5.0
0.07189965301798337,0.0068491819820166305,0.1
0.07218365151281671,0.013724168487183299,0.2
0.07244589530697403,0.020620909693025984,0.30000000000000004
0.07268954445302994,0.027536245546970043,0.4
0.0729171128748886,0.03446766212511141,0.5
0.07313063380849315,0.04141312619150685,0.6
0.07333177538134283,0.048370969618657174,0.7000000000000001
0.07352192336038807,0.0553398066396119,0.8
0.07370224167171044,0.062318473328289575,0.9
0.07387371750068948,0.06930598249931051,1.0
0.07403719546424271,0.07630148953575729,1.1
0.074193403889631,0.083304266110369,1.2000000000000002
0.07434297529387787,0.09031367970612214,1.3000000000000003
0.07448646253660315,0.09732917746339687,1.4000000000000001
