eos,target,z
-0.99,0.007056563181495558,0.1
-0.99,0.008353668526882225,0.11836734693877551
-0.99,0.009651059690191295,0.13673469387755102
-0.99,0.010948727575985806,0.15510204081632656
-0.99,0.012246663517222908,0.17346938775510207
-0.99,0.013544859248734834,0.19183673469387758
-0.99,0.014843306882732131,0.21020408163265308
-0.99,0.016141998886146668,0.2285714285714286
-0.99,0.017440928059651067,0.2469387755102041
-0.99,0.01874008751820784,0.2653061224489796
-0.99,0.020039470673016077,0.2836734693877551
-0.99,0.021339071214737104,0.3020408163265306
-0.99,0.02263888309789159,0.3204081632653062
-0.99,0.02393890052633147,0.3387755102040817
-0.99,0.025239117939698835,0.3571428571428572
-0.99,0.026539530000792365,0.3755102040816327
-0.99,0.02784013158376946,0.3938775510204082
-0.99,0.029140917763118255,0.41224489795918373
-0.99,0.030441883803340234,0.43061224489795924
-0.99,0.03174302514928908,0.44897959183673475
-0.99,0.03304433741711621,0.46734693877551026
-0.99,0.034345816385777925,0.48571428571428577
-0.99,0.03564745798906288,0.5040816326530613
-0.99,0.03694925830810187,0.5224489795918368
-0.99,0.03825121356432566,0.5408163265306123
-0.99,0.0395533201128387,0.5591836734693878
-0.99,0.04085557443617982,0.5775510204081633
-0.99,0.04215797313844304,0.5959183673469388
-0.99,0.04346051293973377,0.6142857142857143
-0.99,0.04476319067093765,0.6326530612244898
-0.99,0.046066003268781276,0.6510204081632653
-0.99,0.04736894777116539,0.6693877551020408
-0.99,0.048672021312752584,0.6877551020408164
-0.99,0.04997522112079296,0.7061224489795919
-0.99,0.05127854451117307,0.7244897959183674
-0.99,0.05258198888467315,0.7428571428571429
-0.99,0.05388555172342011,0.7612244897959184
-0.99,0.05518923058752413,0.7795918367346939
-0.99,0.05649302311188717,0.7979591836734694
-0.99,0.057796927003173466,0.8163265306122449
-0.99,0.05910094003693178,0.8346938775510204
-0.99,0.06040506005486075,0.8530612244897959
-0.99,0.06170928496220857,0.8714285714285714
-0.99,0.06301361272529933,0.889795918367347
-0.99,0.06431804136917875,0.9081632653061225
-0.99,0.06562256897537215,0.926530612244898
-0.99,0.06692719367974861,0.9448979591836735
-0.99,0.0682319136704853,0.963265306122449
-0.99,0.06953672718612608,0.9816326530612246
-0.99,0.07084163251372955,1.0
-0.9697959183673469,0.0068491819820166305,0.1
-0.9697959183673469,0.008110134169938974,0.11836734693877551
-0.9697959183673469,0.00937192592212795,0.13673469387755102
-0.9697959183673469,0.010634530923038605,0.15510204081632656
-0.9697959183673469,0.01189792408429708,0.17346938775510207
-0.9697959183673469,0.013162081469294472,0.19183673469387758
-0.9697959183673469,0.01442698022349717,0.21020408163265308
-0.9697959183673469,0.01569259850996061,0.2285714285714286
-0.9697959183673469,0.016958915449586436,0.2469387755102041
-0.9697959183673469,0.01822591106571001,0.2653061224489796
-0.9697959183673469,0.019493566232646215,0.2836734693877551
-0.9697959183673469,0.020761862627858767,0.3020408163265306
-0.9697959183673469,0.02203078268745065,0.3204081632653062
-0.9697959183673469,0.023300309564702183,0.3387755102040817
-0.9697959183673469,0.024570427091409486,0.3571428571428572
-0.9697959183673469,0.02584111974179909,0.3755102040816327
-0.9697959183673469,0.027112372598815035,0.3938775510204082
-0.9697959183673469,0.028384171322593434,0.41224489795918373
-0.9697959183673469,0.02965650212095632,0.43061224489795924
-0.9697959183673469,0.03092935172177103,0.44897959183673475
-0.9697959183673469,0.03220270734703538,0.46734693877551026
-0.9697959183673469,0.03347655668856059,0.48571428571428577
-0.9697959183673469,0.03475088788513514,0.5040816326530613
-0.9697959183673469,0.036025689501062476,0.5224489795918368
-0.9697959183673469,0.03730095050597422,0.5408163265306123
-0.9697959183673469,0.03857666025582914,0.5591836734693878
-0.9697959183673469,0.03985280847501506,0.5775510204081633
-0.9697959183673469,0.041129385239477415,0.5959183673469388
-0.9697959183673469,0.04240638096080499,0.6142857142857143
-0.9697959183673469,0.043683786371207796,0.6326530612244898
-0.9697959183673469,0.044961592509327866,0.6510204081632653
-0.9697959183673469,0.046239790706828356,0.6693877551020408
-0.9697959183673469,0.04751837257570959,0.6877551020408164
-0.9697959183673469,0.048797329996305705,0.7061224489795919
-0.9697959183673469,0.05007665510591842,0.7244897959183674
-0.9697959183673469,0.05135634028804745,0.7428571428571429
-0.9697959183673469,0.05263637816218055,0.7612244897959184
-0.9697959183673469,0.053916761574108595,0.7795918367346939
-0.9697959183673469,0.055197483586733376,0.7979591836734694
-0.9697959183673469,0.05647853747133866,0.8163265306122449
-0.9697959183673469,0.05775991669929619,0.8346938775510204
-0.9697959183673469,0.05904161493418161,0.8530612244897959
-0.9697959183673469,0.060323626024275254,0.8714285714285714
-0.9697959183673469,0.06160594399542634,0.889795918367347
