feature,target
-10.0,-7.34788079488412e-15
-9.97997997997998,-0.375620588858134
-9.95995995995996,-0.743810470554239
-9.93993993993994,-1.0987869881278778
-9.91991991991992,-1.4349993483418289
-9.8998998998999,-1.7472154101609514
-9.87987987987988,-2.0306030880104897
-9.85985985985986,-2.2808051036283654
-9.83983983983984,-2.4940059306413542
-9.81981981981982,-2.666989904175764
-9.7997997997998,-2.797189611756245
-9.77977977977978,-2.8827238391093313
-9.75975975975976,-2.922424512724302
-9.73973973973974,-2.9158522574248664
-9.71971971971972,-2.8633003689425776
-9.6996996996997,-2.7657871856570777
-9.67967967967968,-2.6250370273506616
-9.65965965965966,-2.443450049107222
-9.63963963963964,-2.224061532525726
-9.61961961961962,-1.970491301482954
-9.5995995995996,-1.686884103191057
-9.57957957957958,-1.3778419348660298
-9.55955955955956,-1.048349419799039
-9.53953953953954,-0.7036934421123741
-9.51951951951952,-0.3493783353871264
-9.4994994994995,0.008962014610037605
-9.47947947947948,0.36565374964543945
-9.45945945945946,0.7150728769037417
-9.43943943943944,1.051733942584205
-9.41941941941942,1.3703761430965595
-9.3993993993994,1.6660455221339154
-9.37937937937938,1.9341719695059352
-9.35935935935936,2.1706398252806354
-9.33933933933934,2.3718509990328753
-9.31931931931932,2.534779637072929
-9.2992992992993,2.6570175084073715
-9.27927927927928,2.736809430620473
-9.25925925925926,2.7730782174201893
-9.23923923923924,2.7654387976821297
-9.21921921921922,2.714201328750835
-9.1991991991992,2.620363301759978
-9.17917917917918,2.4855908110285365
-9.15915915915916,2.31218933041906
-9.13913913913914,2.103064504213701
-9.11911911911912,1.8616736159898952
-9.0990990990991,1.591968543725231
-9.07907907907908,1.298331140684409
-9.05905905905906,0.9855020975147329
-9.03903903903904,0.6585044396302309
-9.01901901901902,0.3225628939077898
-8.998998998999,-0.016979581234666856
-8.97897897897898,-0.35474676902568913
-8.95895895895896,-0.6854143194542909
-8.93893893893894,-1.003793678474927
-8.91891891891892,-1.3049134983121486
-8.8988988988989,-1.5840972515725003
-8.87887887887888,-1.8370358376087605
-8.85885885885886,-2.059854054229571
-8.83883883883884,-2.2491699099789932
-8.81881881881882,-2.402145870131774
-8.7987987987988,-2.516531261320604
-8.77877877877878,-2.5906952031817343
-8.75875875875876,-2.6236495882483695
-8.73873873873874,-2.615061791072067
-8.71871871871872,-2.5652569516476116
-8.6986986986987,-2.47520984403442
-8.67867867867868,-2.3465265059709712
-8.65865865865866,-2.181415966656573
-8.63863863863864,-1.9826525651836657
-8.618618618618619,-1.7535294989081953
-8.598598598598599,-1.497804377054573
-8.578578578578579,-1.219637677957987
-8.558558558558559,-0.9235251166548859
-8.538538538538539,-0.6142250213920927
-8.518518518518519,-0.2966818916533756
-8.498498498498499,0.024052634593946274
-8.478478478478479,0.3429001413380647
-8.458458458458459,0.6548358443464806
-8.438438438438439,0.9549677771989052
-8.418418418418419,1.2386135056387715
-8.398398398398399,1.5013731673028146
-8.378378378378379,1.7391976977003127
-8.358358358358359,1.948451184888017
-8.338338338338339,2.1259663932487727
-8.318318318318319,2.269092609499524
-8.298298298298299,2.3757350896730722
-8.278278278278279,2.444385522283469
-8.258258258258259,2.4741430679822116
-8.238238238238239,2.464725687398923
-8.218218218218219,2.416471624104827
-8.198198198198199,2.330331066258355
-8.178178178178179,2.2078481659986515
-8.158158158158159,2.0511337475818587
-8.138138138138139,1.8628291812133757
-8.118118118118119,1.6460620372286336
-8.098098098098099,1.404394262569975
-8.078078078078079,1.141763736426416
-8.058058058058059,0.8624201626830537
-8.038038038038039,0.5708563419345896
-8.018018018018019,0.271735933978053
-7.997997997997998,-0.030181128087556526
-7.977977977977978,-0.3301143794720959
-7.957957957957958,-0.6233385158486905
-7.937937937937938,-0.9052578375736234
-7.917917917917918,-1.171478273160613
-7.897897897897898,-1.4178758533406663
-7.877877877877878,-1.6406605688671163
-7.857857857857858,-1.836434623672799
-7.837837837837838,-2.0022441887242777
-7.817817817817818,-2.13562386938553
-7.797797797797798,-2.2346332185257216
-7.777777777777778,-2.2978847570284855
-7.757757757757758,-2.32456310067908
-7.737737737737738,-2.314434935402184
-7.717717717717718,-2.2678497291977187
-7.697697697697698,-2.185731216534836
-7.677677677677678,-2.0695598370688773
-7.657657657657658,-1.9213464530294861
-7.637637637637638,-1.743597806245802
-7.617617617617618,-1.539274304387099
-7.597597597597598,-1.3117408446016356
-7.5775775775775776,-1.064711489500965
-7.5575575575575575,-0.8021889037248714
-7.5375375375375375,-0.5283995377209696
-7.5175175175175175,-0.24772560771296545
-7.4974974974974975,0.03536503379496852
-7.4774774774774775,0.31639001485860757
-7.4574574574574575,0.590923416338961
-7.4374374374374375,0.8546654758082779
-7.4174174174174174,1.1035099253607552
-7.397397397397397,1.3336079088484907
-7.377377377377377,1.5414274838506803
-7.357357357357357,1.7238077889481984
-7.337337337337337,1.8780070463386123
-7.317317317317317,2.001743671994867
-7.297297297297297,2.093229878753498
-7.277277277277277,2.1511972800599306
-7.257257257257257,2.1749141316070566
-7.237237237237237,2.1641939826832903
-7.217217217217217,2.1193956465327144
-7.197197197197197,2.0414145372221832
-7.177177177177177,1.9316655572091228
-7.157157157157157,1.792057852844415
-7.137137137137137,1.6249618823325762
-7.117117117117117,1.4331693602143598
-7.097097097097097,1.2198467523759504
-7.077077077077077,0.988483094229208
-7.057057057057057,0.7428329905410986
-7.037037037037037,0.48685572712293496
-7.017017017017017,0.2246514811571284
-6.996996996996997,-0.03960434247550171
-6.976976976976977,-0.3017275974605623
-6.956956956956957,-0.5575916462867668
-6.936936936936937,-0.8031923254767702
-6.916916916916917,-1.0347106030856676
-6.896896896896897,-1.2485719480921902
-6.876876876876877,-1.4415014889972244
-6.856856856856857,-1.610574110969361
-6.836836836836837,-1.753258726013906
-6.816816816816817,-1.8674560474618682
-6.796796796796797,-1.951529306975455
-6.776776776776776,-2.0043274674891514
-6.756756756756756,-2.0252006071716515
-6.736736736736736,-2.014007275632361
-6.716716716716716,-1.9711137521753204
-6.696696696696696,-1.8973852648641822
-6.676676676676676,-1.7941693564506445
-6.656656656656656,-1.6632717068201595
-6.636636636636636,-1.5069248395775
-6.616616616616616,-1.3277502508859027
-6.596596596596596,-1.1287145999724726
-6.576576576576576,-0.9130806912597927
-6.556556556556556,-0.6843540565007656
-6.536536536536536,-0.44622601040264287
-6.516516516516516,-0.20251410406842452
-6.496496496496496,0.04289906356794234
-6.476476476476476,0.2861276957634687
-6.456456456456456,0.5233443242343656
-6.436436436436436,0.7508400374902908
-6.416416416416416,0.9650824635094789
-6.396396396396396,1.162770600397624
-6.376376376376376,1.3408856442070913
-6.356356356356356,1.4967370318254318
-6.336336336336336,1.6280029975990689
-6.316316316316316,1.7327650337834877
-6.296296296296296,1.8095357454848127
-6.276276276276276,1.8572796988234632
-6.256256256256256,1.8754269748424914
-6.236236236236236,1.863879259354952
-6.216216216216216,1.8230084185781152
-6.196196196196196,1.7536476301204424
-6.176176176176176,1.657075256762293
-6.156156156156156,1.5349917646370899
-6.136136136136136,1.389490096080386
-6.116116116116116,1.2230200088721548
-6.096096096096096,1.038346986281305
-6.076076076076076,0.8385064048076687
-6.056056056056056,0.6267537175547245
-6.036036036036036,0.40651146969506213
-6.016016016016016,0.18131400765511027
-5.995995995995996,-0.045249225189903874
-5.975975975975976,-0.2695908967655336
-5.955955955955956,-0.4881825867778984
-5.935935935935936,-0.6976102800696669
-5.915915915915916,-0.8946276800981171
-5.895895895895896,-1.07620651010689
-5.875875875875876,-1.2395830228839713
-5.8558558558558556,-1.3823000053825267
-5.8358358358358355,-1.502243640807409
-5.8158158158158155,-1.5976746767525511
-5.7957957957957955,-1.6672534421788987
-5.7757757757757755,-1.7100583568939138
-5.7557557557557555,-1.7255976830799968
-5.7357357357357355,-1.7138143775988186
-5.7157157157157155,-1.6750840145087438
-5.6956956956956954,-1.6102058576967757
-5.675675675675675,-1.5203872719843958
-5.655655655655655,-1.407221765800816
-5.635635635635635,-1.2726610578809254
-5.615615615615615,-1.1189816528887344
-5.595595595595595,-0.9487464949605197
-5.575575575575575,-0.7647623426193543
-5.555555555555555,-0.5700335722094396
-5.535535535535535,-0.36771316899045825
-5.515515515515515,-0.16105170456737103
-5.495495495495495,0.04665487413703485
-5.475475475475475,0.2521178059676626
-5.455455455455455,0.45210758854834054
-5.435435435435435,0.6435047387175636
-5.415415415415415,0.8233484425730874
-5.395395395395395,0.9888823365344828
-5.375375375375375,1.1375967118840153
-5.355355355355355,1.2672664972266017
-5.335335335335335,1.3759844451541683
-5.315315315315315,1.4621890298909428
-5.295295295295295,1.524686650489002
-5.275275275275275,1.562667827782966
-5.255255255255255,1.575717181262046
-5.235235235235235,1.5638170726807088
-5.215215215215215,1.5273449049780106
-5.195195195195195,1.4670641662757105
-5.175175175175175,1.384109407762798
-5.155155155155155,1.279965439580802
-5.135135135135135,1.1564411189028463
-5.115115115115115,1.0156381878470342
-5.095095095095095,0.8599156943939454
-5.075075075075075,0.6918505959385938
-5.055055055055055,0.5141952015009338
-5.035035035035035,0.3298321541172856
-5.015015015015015,0.14172768888930826
-4.994994994994995,-0.047116075881804914
-4.974974974974975,-0.2337090473630437
-4.954954954954955,-0.41512050219204727
-4.934934934934935,-0.5885251161902967
-4.914914914914915,-0.7512469568750207
-4.894894894894895,-0.9008007539231176
-4.874874874874875,-1.0349298114646504
-4.854854854854855,-1.1516399846060674
-4.834834834834835,-1.24922920989384
-4.814814814814815,-1.3263121543826193
-4.794794794794795,-1.3818396293101853
-4.774774774774775,-1.4151125007521472
-4.754754754754755,-1.425789919610624
-4.734734734734735,-1.4138917854131772
-4.714714714714715,-1.379795451168006
-4.694694694694695,-1.3242267684470772
-4.674674674674675,-1.2482456614829738
-4.654654654654655,-1.1532265049490915
-4.634634634634635,-1.0408336608981992
-4.614614614614615,-0.9129926048049504
-4.594594594594595,-0.7718571376491181
-4.574574574574575,-0.6197732394721943
-4.554554554554555,-0.45924016896909614
-4.534534534534535,-0.2928694527253038
-4.514514514514515,-0.1233424361311555
-4.494494494494495,0.04663291457209213
-4.474474474474475,0.21436526342652912
-4.454454454454455,0.37722251835110354
-4.434434434434435,0.5326731324694823
-4.414414414414415,0.6783254451270959
-4.394394394394395,0.8119644513993748
-4.374374374374375,0.9315854352332299
-4.354354354354355,1.0354239563742715
-4.334334334334335,1.1219817439573816
-4.314314314314315,1.1900481190065426
-4.2942942942942945,1.2387166429309808
