target,feature
0.0,-1.0
-0.030777911201154484,-0.8947368421052632
-0.12152138402653502,-0.7894736842105263
-0.15497147802931377,-0.6842105263157895
-0.2140611693530825,-0.5789473684210527
-0.29924764228241196,-0.4736842105263158
-0.27843013130083577,-0.368421052631579
-0.19779850766781293,-0.26315789473684215
-0.1642921786851895,-0.1578947368421053
-0.055448832346367334,-0.052631578947368474
0.05023591879775348,0.05263157894736836
0.15120321853855817,0.1578947368421053
0.24315194845429086,0.26315789473684204
0.28024194797311347,0.36842105263157876
0.30028020404054157,0.4736842105263157
0.25526969286844536,0.5789473684210527
0.18953296228785965,0.6842105263157894
0.12251083202337246,0.7894736842105261
0.03736754419453643,0.894736842105263
0.0,1.0
