target,feature
-0.8160008899651877,-1.0
-0.5134964039768437,-0.8947368421052632
-0.33518464153774796,-0.7894736842105263
-0.20458553616590996,-0.6842105263157895
-0.1045496813437834,-0.5789473684210527
-0.055157359744747655,-0.4736842105263158
-0.02017040026087938,-0.368421052631579
-0.004945678268986204,-0.26315789473684215
-0.0007497259866135274,-0.1578947368421053
-8.828867949574559e-06,-0.052631578947368474
-6.631552347961127e-06,0.05263157894736836
-0.0005214432633359617,0.1578947368421053
-0.0028209337290931243,0.26315789473684204
-0.009009821169586714,0.36842105263157876
-0.016674825222317363,0.4736842105263157
-0.04043059041945882,0.5789473684210527
-0.04694789951822531,0.6842105263157894
-0.06560972060810946,0.7894736842105261
-0.08832901676089713,0.894736842105263
-0.11877236913182002,1.0
